РК;Аптека;Код АП;Товар;Штрих;Серия;срок годности;Номер;Дата;Дата ввода КИЗа;Статус;SGTIN;Код ошибки;Ошибка;Схема;Номер поставщика;Дата поставщика;Поставщик;Ошибка КИЗа;Задвоение;Интернет-заказ;Продажа;GSPO;Комментарий ГСПО;Уникальный код;MD аптеки;MD поставщика;Start;PUT;VER;Size;ГИС МТ
" Чита_ООО ""Ригла"" "; читАпт22112 ; 65 ; Алоэ сок 50мл ; 2001125922374 ; 050524 ;01.05.2026; 38112/ПН-00019820 ;10.10.2024;10.10.2024; HOLD ; 0460518000563816JAJ3JF0xaEU ; -1 ; Во входящих документах не обнаружено подтверждение КИЗ ; 701 ; 315843320-001 ;10.10.2024; Протек-27 (Иркутск) ; OK ; OK ; protek.ru/42608010 ; OK ; NULL ;нет дополнительной информации; 0BC6D0CB-C79B-4363-8917-C5055C792770 ; 00000000138803 ; 00000000184965 ; 2024-10-11 09:01:43.580 ; 38A-22112SRV.apt.rigla.ru,8703 -d Rigla_38112 -U sa -P efarma2 ; 29 ; ЛС ; NULL
" Чита_ООО ""Ригла"" "; читАпт22142 ; 543 ; Гербион сироп подорожника 150мл ; 2001427210209 ; Z97860 ; NULL ; 38142/ПН-00020260 ;09.10.2024;09.10.2024; HOLD ; 0383898974575200E0DGMIC3S7W ; -1 ; Во входящих документах не обнаружено подтверждение КИЗ ; 701 ; 69228209 ;09.10.2024; еАптека, Чита ; OK ; OK ; eapteka.ru/ship-invoice/00069228209 ; OK ; 90 ;SGTIN в обороте или продан у другого юр лица, не у поставщика и не у аптеки покупателя; 640601BD-88CC-4D70-92E7-584F4FFD8C6D ; 00000000138815 ; 00000000183056 ; 2024-10-11 09:02:34.930 ; 38A-22142SRV.apt.rigla.ru,8703 -d Rigla_22142 -U sa -P efarma2 ; 29 ; ЛС ; NULL
" Чита_ООО ""Ригла"" "; читАпт22_04 ; 31914 ; Аторвастатин-Тева таб.п/о плен. 10мг №30 ; 2000048563558 ; 1105069 ;30.04.2026; 75004/ПН-00039779 ;10.10.2024;10.10.2024; HOLD ; 053100012690129079852964101 ; -1 ; Во входящих документах не обнаружено подтверждение КИЗ ; 701 ; 315394542-001 ;08.10.2024; Протек-27 (Чита) ; OK ; OK ; protek.ru/42471367 ; OK ; NULL ;нет дополнительной информации; D898EA92-B1AA-4595-B30A-B94505028C47 ; 00000000140120 ; 00000000184965 ; 2024-10-11 10:02:50.143 ; 75A-0004SRV.apt.rigla.ru,8703 -d Rigla_75004 -U sa -P efarma2 ; 29 ; ЛС ; NULL
" Чита_ООО ""Ригла"" "; читАпт22_04 ; 5333 ; Панангин таб.п/о №50 ; 2000048563572 ; 1290224 ;01.02.2029; 75004/ПН-00039779 ;10.10.2024;10.10.2024; HOLD ; 046054690043076578439828936 ; -1 ; Во входящих документах не обнаружено подтверждение КИЗ ; 701 ; 315394542-001 ;08.10.2024; Протек-27 (Чита) ; OK ; OK ; protek.ru/42471367 ; OK ; NULL ;нет дополнительной информации; C9442833-D902-4FAE-8D70-A2A9A978486E ; 00000000140120 ; 00000000184965 ; 2024-10-11 10:02:50.143 ; 75A-0004SRV.apt.rigla.ru,8703 -d Rigla_75004 -U sa -P efarma2 ; 29 ; ЛС ; NULL
" Чита_ООО ""Ригла"" "; читАпт22_04 ; 120375 ; Пустырника экстракт таб. 14мг №50 ; 2000048563589 ; 370824 ;31.07.2027; 75004/ПН-00039779 ;10.10.2024;10.10.2024; HOLD ; 0460406000007745C0BEM84XX84 ; -1 ; Во входящих документах не обнаружено подтверждение КИЗ ; 701 ; 315394542-001 ;08.10.2024; Протек-27 (Чита) ; OK ; OK ; protek.ru/42471367 ; OK ; NULL ;нет дополнительной информации; E7B9836C-3A33-4E2F-A2F8-10BEA7FA5115 ; 00000000140120 ; 00000000184965 ; 2024-10-11 10:02:50.143 ; 75A-0004SRV.apt.rigla.ru,8703 -d Rigla_75004 -U sa -P efarma2 ; 29 ; ЛС ; NULL
" Чита_ООО ""Ригла"" "; читАпт22_16 ; 4479728 ; Мятные таблетки таб. №10 ; 2000167117779 ; 010124 ;01.01.2026; 75016/ПН-00020355 ;10.10.2024;10.10.2024; HOLD ; 0460518000760115m7vl1yDqlYu ; -1 ; Во входящих документах не обнаружено подтверждение КИЗ ; 701 ; 315612172-001 ;08.10.2024; Протек-27 (Чита) ; OK ; OK ; protek.ru/42537641 ; OK ; NULL ;нет дополнительной информации; A33A1806-7859-4F31-BBD7-3967DBF905B0 ; 00000000140129 ; 00000000184965 ; 2024-10-11 10:03:07.253 ; 75A-0016SRV.apt.rigla.ru,8703 -d Rigla_75016 -U sa -P efarma2 ; 29 ; ЛС ; NULL
" Чита_ООО ""Ригла"" "; читАпт22_29 ; 4989823 ; Скиноклир гель для наруж. применения 15% 30г ; 2000299562454 ; 080824 ;31.07.2027; 75029/ПН-00028213 ;10.10.2024;10.10.2024; HOLD ; 0460702776894200000TRQMZ07B ; -1 ; Во входящих документах не обнаружено подтверждение КИЗ ; 701 ; 315599993-001 ;08.10.2024; Протек-27 (Чита) ; OK ; OK ; protek.ru/42533436 ; OK ; NULL ;нет дополнительной информации; A29C12AF-F794-4311-B921-DEC0393A6286 ; 00000000140140 ; 00000000184965 ; 2024-10-11 10:03:34.157 ; 75A-0029SRV.apt.rigla.ru,8703 -d Rigla_75029 -U sa -P efarma2 ; 29 ; ЛС ; NULL
" Чита_ООО ""Ригла"" "; читАпт22_78 ; 88249 ; Триметазидин МВ-Акос таб.п/о с мод.высв. 35мг №60 ; 2000782689170 ; 0010124 ;31.01.2027; 75078/ПН-00010546 ;10.10.2024;10.10.2024; HOLD ; 046059490023350000013405628 ; -1 ; Во входящих документах не обнаружено подтверждение КИЗ ; 701 ; 315593128-001 ;08.10.2024; Протек-27 (Чита) ; OK ; OK ; protek.ru/42531875 ; OK ; NULL ;нет дополнительной информации; 5146E4E7-1B6A-4D1C-B6FE-8523CA9B1338 ; 00000000145271 ; 00000000184965 ; 2024-10-11 10:08:12.220 ; 75A-2278SRV.apt.rigla.ru,8703 -d Rigla_75078 -U sa -P efarma2 ; 29 ; ЛС ; NULL
" Чита_ООО ""Ригла"" "; читАпт22_84 ; 85635 ; Итомед таб.п/о плен. 50мг №40 ; 2000847598645 ; 0221223 ;31.12.2028; 75084/ПН-00020881 ;27.09.2024;27.09.2024; HOLD ; 085950264350180024784151606 ; -1 ; Во входящих документах не обнаружено подтверждение КИЗ ; 701 ; 313254924-001 ;24.09.2024; Протек-27 (Чита) ; OK ; OK ; protek.ru/41828734 ; OK ; 90 ;SGTIN в обороте или продан у другого юр лица, не у поставщика и не у аптеки покупателя; 863C5910-9755-4CC8-B160-18E4591C7CEE ; 00000000139324 ; 00000000184965 ; 2024-10-11 10:08:57.100 ; 75A-2284SRV.apt.rigla.ru,8703 -d Rigla_75084 -U sa -P efarma2 ; 29 ; ЛС ; NULL
" Красноярск_ООО ""Аптечная сеть Оз"" "; крсАпт  14 ; 102957 ; Трипликсам таб.п/о плен. 10мг+2,5мг+10мг №30 ; 2000141549442 ; 0790324 ;28.02.2027; 24014/ПН-00034814 ;10.10.2024;10.10.2024; HOLD ; 04607159864574CWFHEDR9HNZGZ ; -1 ; Во входящих документах не обнаружено подтверждение КИЗ ; 701 ; 315834495-001 ;10.10.2024; Протек-07 (Красноярск) ; OK ; OK ; protek.ru/42605307 ; OK ; NULL ;нет дополнительной информации; 878081FE-786F-439E-A222-3DBEB971933D ; 00000000177359 ; 00000000000502 ; 2024-10-11 08:09:14.943 ; 24A-0014SRV.apt.rigla.ru,8703 -d Rigla_24014 -U sa -P efarma2 ; 29 ; ЛС ; NULL
" Красноярск_ООО ""Аптечная сеть Оз"" "; крсАпт  15 ; 2774 ; Синупрет таб.п/о №50 ; 2000151845411 ; 0000203440 ;31.01.2027; 24015/ПН-00036254 ;10.10.2024;10.10.2024; HOLD ; 040297991162312276383704739 ; -1 ; Во входящих документах не обнаружено подтверждение КИЗ ; 701 ; 315902287-001 ;10.10.2024; Протек-07 (Красноярск) ; OK ; OK ; protek.ru/42620671 ; OK ; NULL ;нет дополнительной информации; 64D5570B-6024-41B1-8857-F62F5CB6F59E ; 00000000178607 ; 00000000000502 ; 2024-10-11 08:06:28.803 ; 24A-0015SRV.apt.rigla.ru,8703 -d Rigla_24015 -U sa -P efarma2 ; 29 ; ЛС ; NULL
" Красноярск_ООО ""Аптечная сеть Оз"" "; крсАпт  28 ; 4479031 ; Панкреатин таб.п/о плен.раствор./кишечн. 25ЕД. №60 ; 2000287647613 ; 6071223 ;31.12.2025; 24028/ПН-00024952 ;10.10.2024;10.10.2024; HOLD ; 04607100623793G100004119039 ; -1 ; Во входящих документах не обнаружено подтверждение КИЗ ; 701 ; 315933261-001 ;10.10.2024; Протек-07 (Красноярск) ; OK ; OK ; protek.ru/42627121 ; OK ; NULL ;нет дополнительной информации; CDF18D1E-2644-41F7-9AB6-5CE044A5982C ; 00000000283632 ; 00000000000502 ; 2024-10-11 08:09:47.853 ; 24A-0028SRV.apt.rigla.ru,8703 -d Rigla_24028 -U sa -P efarma2 ; 29 ; ЛС ; NULL
" Красноярск_ООО ""Аптечная сеть Оз"" "; крсАпт  29 ; 44972 ; Ципрофлоксацин таб.п/о плен. 500мг №10 ; 2000292687000 ; 350724 ;30.06.2027; 24029/ПН-00031670 ;10.10.2024;10.10.2024; HOLD ; 04660153654251000035BN2GZ5J ; -1 ; Во входящих документах не обнаружено подтверждение КИЗ ; 701 ; 315904207-001 ;10.10.2024; Протек-07 (Красноярск) ; OK ; OK ; protek.ru/42621135 ; OK ; NULL ;нет дополнительной информации; 40077248-7376-4E94-958C-638EE223B1DF ; 00000000177363 ; 00000000000502 ; 2024-10-11 08:09:28.567 ; 24A-0029SRV.apt.rigla.ru,8703 -d Rigla_24029 -U sa -P efarma2 ; 29 ; ЛС ; NULL
" Красноярск_ООО ""Аптечная сеть Оз"" "; крсАпт  47 ; 105598 ; Вамлосет таб.п/о 5мг/160мг №90 ; 2000475373843 ; 36320424 ;30.04.2027; 24047/ПН-00024199 ;10.10.2024;10.10.2024; HOLD ; 046100177007472AZW9PYNL9W4G ; -1 ; Во входящих документах не обнаружено подтверждение КИЗ ; 701 ; 315851711-001 ;10.10.2024; Протек-07 (Красноярск) ; OK ; OK ; protek.ru/42610209 ; OK ; NULL ;нет дополнительной информации; 325A8BE5-ED12-4DA0-A493-6BAE3F1663A6 ; 00000000197202 ; 00000000000502 ; 2024-10-11 08:11:54.250 ; 24A-0047SRV.apt.rigla.ru,8703 -d Rigla_24047 -U sa -P efarma2 ; 29 ; ЛС ; NULL
" Красноярск_ООО ""Аптечная сеть Оз"" "; крсАпт  49 ; 1394 ; Отривин для взрослых спрей назальн. 0,1% 10мл ; 2000497477833 ; 742H ;30.04.2027; 24049/ПН-00031755 ;10.10.2024;10.10.2024; HOLD ; 046070451900461FMMPKH9H04Z3 ; -1 ; Во входящих документах не обнаружено подтверждение КИЗ ; 701 ; 315868484-001 ;10.10.2024; Протек-07 (Красноярск) ; OK ; OK ; protek.ru/42613259 ; OK ; NULL ;нет дополнительной информации; CF6DE2AB-2063-4C6F-9AB9-60FAE2DFCC12 ; 00000000179538 ; 00000000000502 ; 2024-10-11 08:12:27.833 ; 24A-0049SRV.apt.rigla.ru,8703 -d Rigla_24049 -U sa -P efarma2 ; 29 ; ЛС ; NULL
" Красноярск_ООО ""Аптечная сеть Оз"" "; крсАпт  54 ; 112198 ; Снуп спрей наз.дозированный 0,1% 90 мкг/доза 15мл ; 2000544167526 ; 14ERNA ;31.12.2028; 24054/ПН-00017598 ;10.10.2024;10.10.2024; HOLD ; 04011548030707F0A50AA2CUNMK ; -1 ; Во входящих документах не обнаружено подтверждение КИЗ ; 701 ; 315913513-001 ;10.10.2024; Протек-07 (Красноярск) ; OK ; OK ; protek.ru/42623236 ; OK ; NULL ;нет дополнительной информации; A297C7D7-E897-492B-AFA0-83D95CCB9BB3 ; 00000000255612 ; 00000000000502 ; 2024-10-11 08:13:13.663 ; 24A-0054SRV.apt.rigla.ru,8703 -d Rigla_24054 -U sa -P efarma2 ; 29 ; ЛС ; NULL
" Красноярск_ООО ""Аптечная сеть Оз"" "; крсАпт  58 ; 3032512 ; Кардиомагнил таб. п/о плен. 75мг +15,2мг №100 ; 2000586137341 ; 01830823 ;31.07.2026; 24058/ПН-00027213 ;10.10.2024;10.10.2024; HOLD ; 046021560009941144690513491 ; -1 ; Во входящих документах не обнаружено подтверждение КИЗ ; 701 ; 315930300-001 ;10.10.2024; Протек-07 (Красноярск) ; OK ; OK ; protek.ru/42626427 ; OK ; NULL ;нет дополнительной информации; 8E8913F6-9FA9-4526-B0DB-1CAF1590FC7B ; 00000000290607 ; 00000000000502 ; 2024-10-11 08:13:37.877 ; 24A-0058SRV.apt.rigla.ru,8703 -d Rigla_24058 -U sa -P efarma2 ; 29 ; ЛС ; NULL
" Красноярск_ООО ""Аптечная сеть Оз"" "; крсАпт  73 ; 2246 ; Эспумизан капс. 40мг №25 ; 2000732903370 ; 33720A ;31.08.2028; 24073/ПН-00017738 ;10.10.2024;10.10.2024; HOLD ; 04013054004425BY8T9A7K6AMM8 ; -1 ; Во входящих документах не обнаружено подтверждение КИЗ ; 701 ; 315906559-001 ;10.10.2024; Протек-07 (Красноярск) ; OK ; OK ; protek.ru/42621695 ; OK ; NULL ;нет дополнительной информации; 0C2C9175-CA6A-4476-8B2F-F627BA9216EF ; 00000000477999 ; 00000000000502 ; 2024-10-11 08:14:33.513 ; 24A-0073SRV.apt.rigla.ru,8703 -d Rigla_24073 -U sa -P efarma2 ; 29 ; ЛС ; NULL
" Красноярск_ООО ""Аптечная сеть Оз"" "; крсАпт  77 ; 806 ; ИРС-19 аэр. 20мл ; 2000772289892 ; 20123 ;30.06.2025; 24077/ПН-00009399 ;10.10.2024;10.10.2024; HOLD ; 04602196002385evcIZmVFKkzZn ; -1 ; Во входящих документах не обнаружено подтверждение КИЗ ; 701 ; 315859378-001 ;10.10.2024; Протек-07 (Красноярск) ; OK ; OK ; protek.ru/42611552 ; OK ; NULL ;нет дополнительной информации; 0FAD5C1A-45F0-454B-ADD2-495694FE875C ; 00000000499060 ; 00000000000502 ; 2024-10-11 08:14:51.277 ; 24A-0077SRV.apt.rigla.ru,8703 -d Rigla_24077 -U sa -P efarma2 ; 29 ; ЛС ; NULL
